X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
14.9457998280903,51.5180432084586,148.18,9.6,648.45,Forestry,Woodland,15,2.6,46643168
22.3829199192468,53.5095204561511,141.17,7.72,571.86,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.85,51383448
20.2752512262989,54.2690399018425,108.85,8.22,649.86,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.65,49883510
-4.57185265020999,39.9619546456284,489.61,16.32,431.43,Fallow land,Grassland,7,2.45,30781994
-0.462752387324151,46.7624959102792,159.96,11.83,839.16,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.95,35242684
-4.11614733469903,37.9931873304598,261.8,17.89,490.05,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.7,30801772
4.09356198871399,51.3472264567873,-0.2,11.03,847.04,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.8,39103154
9.04578786321637,40.7151744104298,218.07,16.03,617.49,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,2.95,42401958
24.9483487278418,42.234250225413,157.61,13.25,501.29,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.55,55502248
13.9757864506188,52.310945277508,77.33,9.93,558.15,Forestry,Woodland,15,2.65,45923252
-7.77709645320143,40.7342546595315,600.87,14.04,1034.04,Forestry,Woodland,9,3.45,28282136
21.3791986413297,40.1141013357139,740.81,12.74,570.9,Agriculture (excluding fallow land and kitchen gardens),Bareland,8,2.9,52921964
27.1405236098029,42.3589005465647,27.03,13.75,492.57,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.0,57242300
15.7069509052241,47.3540514767683,609.2,8.43,901.72,Forestry,Woodland,26,3.65,47522710
12.6166723120774,51.6652526110531,192.05,9.97,633.28,Forestry,Woodland,15,3.65,45023176
-3.50220646366541,43.0249223426722,691.24,10.91,1084.37,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.3,32242312
