POINT_ID,SHI,height_m,temp_c_mean_1995_2024,rain_mmsqm_mean_1995_2024,land_use,land_cover,lon_x,lat_y,kg_climate_class_label,geom
30922310,2.6,1076.51,10.01,655.85,Semi natural and natural,Grassland,-5.0878401,42.78158484,Csb,"c(-5.08784010257366, 42.7815848420763)"
30662324,3.4,1103.6,9.02,834.2,Semi natural and natural,Grassland,-5.43226793,42.8576309,Csb,"c(-5.43226793110851, 42.8576309019705)"
30562338,3.45,1251.97,7.66,1084.91,Agriculture,Grassland,-5.58532969,42.96244471,Csb,"c(-5.5853296915636, 42.9624447122282)"
30542362,3.55,529.13,10.98,1063.68,Forestry,Woodland,-5.66647413,43.17004767,Cfb,"c(-5.66647413086681, 43.1700476651399)"
30802376,3.9,281.44,13.17,1080.61,Agriculture,Cropland,-5.3854904,43.34162902,Csb,"c(-5.38549040299763, 43.3416290174298)"
30702378,3.6,305.43,12.87,1070.22,Forestry,Woodland,-5.51127743,43.3407623,Cfb,"c(-5.51127743199305, 43.3407623001907)"
31842298,2.8,1038.86,10.51,758.56,Agriculture,Grassland,-3.95557255,42.83522614,Csb,"c(-3.95557254822405, 42.8352261384723)"
31962306,3.7,985.88,10.32,914.65,Semi natural and natural,Woodland,-3.82781075,42.9259942,Csb,"c(-3.82781075266561, 42.925994201149)"
32642320,3.15,247.91,13.28,1078.61,Forestry,Woodland,-3.03416327,43.15938749,Cfb,"c(-3.034163273068, 43.1593874935109)"
32202322,3.6,854.23,10.36,1203.44,Semi natural and natural,Shrubland,-3.57119771,43.10705354,Cfb,"c(-3.57119771047015, 43.107053544459)"
31542332,3.85,1078.62,7.54,1056.01,Semi natural and natural,Woodland,-4.39048731,43.08513884,Cfb,"c(-4.39048730620644, 43.0851388405625)"
32402332,3.75,305.65,12.73,1202.96,Semi natural and natural,Woodland,-3.34942336,43.22790059,Cfb,"c(-3.34942335790385, 43.2279005889498)"
31422336,3.2,933.28,9.61,924.14,Forestry,Woodland,-4.54424724,43.09971933,Cfb,"c(-4.54424723736832, 43.0997193319094)"
32542338,3.65,418.04,14.13,1140.49,Semi natural and natural,Shrubland,-3.1916506,43.3033435,Cfb,"c(-3.19165060181785, 43.3033434960043)"
32202340,3.65,331.68,10.93,1265.58,Agriculture,Grassland,-3.6085744,43.26651056,Cfb,"c(-3.60857439786247, 43.2665105572149)"
32022340,3.8,203.79,12.99,1252.74,Agriculture,Grassland,-3.8268772,43.23694929,Cfb,"c(-3.82687719768979, 43.2369492877776)"
31802344,3.6,501.36,12.21,1179.56,Agriculture,Grassland,-4.10204636,43.23557039,Cfb,"c(-4.10204635537983, 43.2355703898005)"
32202352,3.7,229.26,13.48,1210.52,Agriculture,Cropland,-3.63364317,43.37279191,Cfb,"c(-3.63364317150275, 43.3727919085029)"
32062352,3.4,138.34,14.21,1190.56,Agriculture,Grassland,-3.80374555,43.34979158,Cfb,"c(-3.80374555148197, 43.3497915844321)"
31662352,3.35,304.64,12.51,1124.99,Agriculture,Grassland,-4.28908963,43.28252466,Cfb,"c(-4.28908962770897, 43.2825246636754)"
32162358,3.85,11.39,14.42,1128.47,Agriculture,Grassland,-3.6948782,43.41937594,Cfb,"c(-3.69487819898049, 43.4193759367851)"
27061970,2.7,21.95,17.25,595.61,Agriculture,Cropland,-8.74520635,39.01619339,Csa,"c(-8.74520635438689, 39.0161933879893)"
26762002,2.8,47.67,16.52,677.81,Agriculture,Cropland,-9.16526974,39.22887795,Csb,"c(-9.16526973994864, 39.2288779544659)"
27202006,3.5,92.78,16.77,641.95,Fallow land,Grassland,-8.67945652,39.36230016,Csa,"c(-8.67945651816763, 39.3623001559802)"
27122016,3.15,111.11,15.82,736.67,Agriculture,Cropland,-8.79556411,39.43207414,Csa,"c(-8.79556411122571, 39.4320741360622)"
26942016,2.75,181.13,16.09,713.8,Forestry,Woodland,-8.99890177,39.39184535,Csb,"c(-8.9989017667478, 39.3918453530377)"
26962018,3.7,206.24,15.29,793.89,Forestry,Woodland,-8.98153043,39.41382055,Csb,"c(-8.98153042594126, 39.4138205514619)"
27302020,3,97.16,14.91,831.12,Agriculture,Cropland,-8.60224862,39.50689337,Csa,"c(-8.60224862098993, 39.5068933682506)"
27162028,3.45,304.08,14.65,859.25,Agriculture,Cropland,-8.78134115,39.54593441,Csb,"c(-8.78134115370152, 39.5459344146017)"
26741814,2.75,73.81,16.67,555.66,Agriculture,Cropland,-8.71170834,37.57816003,Csa,"c(-8.71170833785611, 37.5781600305207)"
26881938,2.85,18.48,17.29,645.25,Forestry,Woodland,-8.86554387,38.6960495,Csa,"c(-8.8655438721597, 38.6960494994319)"
27281940,2.5,138.92,16.83,572.73,Forestry,Woodland,-8.42278264,38.80165119,Csa,"c(-8.42278264250844, 38.8016511860925)"
27561952,2.2,111.01,16.97,553.18,Forestry,Woodland,-8.13816399,38.96739509,Csa,"c(-8.13816398591888, 38.9673950943314)"
27201962,2.3,50.65,17.02,569.73,Forestry,Woodland,-8.56765383,38.97699355,Csa,"c(-8.56765383108469, 38.9769935470901)"
27561988,3.05,175.54,16.34,632.93,Forestry,Woodland,-8.22738568,39.28318072,Csa,"c(-8.22738567970118, 39.2831807229555)"
27542110,2.5,78.71,15.76,987.89,Agriculture,Cropland,-8.5617706,40.34711341,Csb,"c(-8.56177060095459, 40.3471134144712)"
27522114,2.4,69.22,15.76,987.89,Forestry,Woodland,-8.59517568,40.37768344,Csb,"c(-8.59517567925534, 40.3776834422683)"
27562118,2.85,69.61,15.77,1016.28,Agriculture,Cropland,-8.55976934,40.42146744,Csb,"c(-8.55976934156486, 40.421467435198)"
27482128,2.25,24.35,15.83,999.55,Agriculture,Grassland,-8.67792527,40.49121854,Csb,"c(-8.6779252692564, 40.4912185355078)"
27402128,2.45,16.68,15.91,986.06,Forestry,Woodland,-8.7697877,40.47345671,Csb,"c(-8.76978770403173, 40.473456706005)"
27462138,2.45,20.07,15.91,1010.22,Forestry,Woodland,-8.72738882,40.57415893,Csb,"c(-8.72738881983227, 40.5741589299934)"
27001882,2.6,91.16,17.17,548.34,Agriculture,Cropland,-8.59138199,38.23186429,Csa,"c(-8.59138199154815, 38.2318642872292)"
33961792,2.75,866.69,14.31,389.6,Fallow land,Grassland,-0.59225376,38.63400269,Csa,"c(-0.592253760221947, 38.6340026852297)"
34261794,3.15,633.95,14.71,436.44,Agriculture,Cropland,-0.25481714,38.68900136,Csa,"c(-0.25481714436073, 38.6890013603437)"
34381810,3.5,80.39,17.7,586.62,Fallow land,Grassland,-0.14055436,38.84710908,Csa,"c(-0.1405543631049, 38.8471090837339)"
33641826,3.35,833.47,14.68,336.91,Fallow land,Grassland,-1.00527243,38.89783112,Csa,"c(-1.00527242940186, 38.8978311193635)"
33301858,2.7,717.14,14.76,326.86,Agriculture,Cropland,-1.44147362,39.13908559,BSk,"c(-1.44147362497396, 39.1390855927092)"
34121886,2.55,104.75,17.72,401.27,Agriculture,Cropland,-0.54530266,39.49677715,BSk,"c(-0.545302656099162, 39.496777147528)"
34261924,2.25,395.43,15.89,410.5,Agriculture,Cropland,-0.43942938,39.85469923,BSk,"c(-0.43942937848206, 39.8546992346995)"
34621956,3.1,272.97,16.5,444.08,Agriculture,Cropland,-0.06858031,40.18532716,BSk,"c(-0.0685803074039967, 40.1853271558971)"
35882060,3.2,181.94,16.38,451.82,Agriculture,Cropland,1.26816521,41.25917308,Csa,"c(1.26816520538655, 41.2591730828497)"
35942062,2.7,250.13,15.96,445.93,Agriculture,Cropland,1.33661268,41.28334901,Csa,"c(1.33661267522985, 41.2833490059227)"
36062060,2.75,200.4,15.74,449.35,Agriculture,Cropland,1.48108454,41.27769956,Csa,"c(1.48108453987002, 41.2776995583982)"
37262116,2.9,124.96,15.59,596.6,Agriculture,Cropland,2.84474998,41.89317291,Cfa,"c(2.84474998376391, 41.8931729073996)"
37322140,3.05,83.91,15.59,594.1,Agriculture,Cropland,2.89132821,42.1140509,Cfa,"c(2.89132820917155, 42.1140509010021)"
37422160,2.65,19.34,16.21,562.62,Agriculture,Cropland,2.99058852,42.30228177,Csa,"c(2.99058852329921, 42.3022817695457)"
37462124,2.85,35.6,15.78,624.96,Fallow land,Bareland,3.07594486,41.98194343,Csa,"c(3.07594486277694, 41.9819434265142)"
37502154,2.55,3.6,16.04,455.69,Agriculture,Cropland,3.09317108,42.25500536,Csa,"c(3.09317107736939, 42.2550053615178)"
45282148,2.75,147.11,14.44,906.51,Agriculture,Cropland,12.50669872,42.40617184,Csa,"c(12.5066987169589, 42.4061718400196)"
44342190,2.1,282.53,15.03,649.77,Fallow land,Grassland,11.37738158,42.80721689,Csa,"c(11.3773815754813, 42.807216887146)"
45362200,2.85,321.5,14.26,863.92,Agriculture,Grassland,12.62401753,42.87299178,Csa,"c(12.6240175321272, 42.8729917821383)"
44582206,3.75,670.28,12.52,849.15,Agriculture,Grassland,11.67391239,42.9472498,Csb,"c(11.6739123871288, 42.9472497977072)"
44422216,3.85,593.9,13.98,729.74,Agriculture,Cropland,11.4807189,43.04053426,Csa,"c(11.4807189046556, 43.0405342612383)"
44782216,2.55,277.97,14.48,716.06,Agriculture,Cropland,11.92112097,43.03318467,Csa,"c(11.9211209732278, 43.0331846695303)"
44262222,3.65,430.59,14.25,730.4,Forestry,Woodland,11.28613382,43.0973444,Csa,"c(11.286133817255, 43.0973444024921)"
44742228,2.4,249.18,14.49,714.98,Agriculture,Cropland,11.87562845,43.14238228,Csa,"c(11.8756284529703, 43.1423822759654)"
